piratesofersatz_01_leinster_64kb_f000001|The pirates of ersatz by Murray Leinster. Chapter 1.|The pirates of ersatz by Murray Leinster. Chapter one.
piratesofersatz_11_leinster_64kb_f000087|He went back to the control room. He turned to general-communication bands and listened to the broadcasts down below.|He went back to the control room. He turned to general-communication bands and listened to the broadcasts down below.
piratesofersatz_11_leinster_64kb_f000088|Special Emergency Bulletin! boomed a voice. Pirates are landing in the city of Ensfield, forty miles from Walden City. The population is instructed to evacuate immediately,|Special Emergency Bulletin! boomed a voice. Pirates are landing in the city of Ensfield, forty miles from Walden City. The population is instructed to evacuate immediately,
piratesofersatz_11_leinster_64kb_f000089|leaving all action to the police.|leaving all action to the police.
piratesofersatz_11_leinster_64kb_f000090|Repeat! The population will evacuate Ensfield, leaving all action to the police. Take nothing with you. Take nothing with you. Leave at once.|Repeat! The population will evacuate Ensfield, leaving all action to the police. Take nothing with you. Take nothing with you. Leave at once.
piratesofersatz_11_leinster_64kb_f000091|Hoddan nodded approvingly. The voice boomed again:|Hoddan nodded approvingly. The voice boomed again:
piratesofersatz_11_leinster_64kb_f000092|Special Emergency Bulletin! Pirates are landing. evacuate. take nothing with you. Leave at once.|Special Emergency Bulletin! Pirates are landing. evacuate. take nothing with you. Leave at once.
piratesofersatz_11_leinster_64kb_f000093|He turned to another channel. An excited voice barked:|He turned to another channel. An excited voice barked:
piratesofersatz_11_leinster_64kb_f000094|. Seems to be only the one pirate ship, which has been located hovering in an unknown manner over Ensfield. We are rushing camera crews to the spot and will try to give on-the-spot as-it-happens coverage of the landing of pirates on Walden,|. Seems to be only the one pirate ship, which has been located hovering in an unknown manner over Ensfield. We are rushing camera crews to the spot and will try to give on-the-spot as-it-happens coverage of the landing of pirates on Walden,
piratesofersatz_11_leinster_64kb_f000095|their looting of the city of Ensfield, and the traffic jams inevitable in the departure of the citizens before the pirate ship touches ground.|their looting of the city of Ensfield, and the traffic jams inevitable in the departure of the citizens before the pirate ship touches ground.
piratesofersatz_11_leinster_64kb_f000096|For background information on this the most exciting event in planetary history, I take you to our editorial rooms. Another voice took over instantly.|For background information on this the most exciting event in planetary history, I take you to our editorial rooms. Another voice took over instantly.
piratesofersatz_11_leinster_64kb_f000097|It will be remembered that some days since the gigantic pirate fleet then overhead sent down a communication to the planetary government,|It will be remembered that some days since the gigantic pirate fleet then overhead sent down a communication to the planetary government,
piratesofersatz_11_leinster_64kb_f000098|warning that single ships would appear to loot and giving notice that any resistance. Hoddan felt a contented, heart-warming glow.|warning that single ships would appear to loot and giving notice that any resistance. Hoddan felt a contented, heart-warming glow.
piratesofersatz_11_leinster_64kb_f000099|The emigrant fleet had most faithfully carried out its leader's promise to let down a letter from space while in orbit around Walden.|The emigrant fleet had most faithfully carried out its leader's promise to let down a letter from space while in orbit around Walden.
piratesofersatz_11_leinster_64kb_f000100|The emigrants, of course, did not know the contents of the letter. They would not send anybody down to ground, because of the temptations to sin in societies other than their own.|The emigrants, of course, did not know the contents of the letter. They would not send anybody down to ground, because of the temptations to sin in societies other than their own.
piratesofersatz_11_leinster_64kb_f000101|Blithely, and cheerfully, and dutifully, they would give the appearance of monstrous piratical strength. They would awe Walden thoroughly.|Blithely, and cheerfully, and dutifully, they would give the appearance of monstrous piratical strength. They would awe Walden thoroughly.
piratesofersatz_11_leinster_64kb_f000102|And then they'd go on, faithfully leaving similar letters and similar impressions on Krim, and Lohala, and Tralee, and Famagusta, and throughout the Coalsack stars until the stock of addressed missives ran out.|And then they'd go on, faithfully leaving similar letters and similar impressions on Krim, and Lohala, and Tralee, and Famagusta, and throughout the Coalsack stars until the stock of addressed missives ran out.
piratesofersatz_11_leinster_64kb_f000103|They would perform this kindly act out of gratitude to Hoddan.|They would perform this kindly act out of gratitude to Hoddan.
piratesofersatz_11_leinster_64kb_f000104|And every planet they visited would be left with the impression that the fleet overhead was that of bloodthirsty space-marauders who would presently send single ships to collect loot — which must be yielded without resistance.|And every planet they visited would be left with the impression that the fleet overhead was that of bloodthirsty space-marauders who would presently send single ships to collect loot - which must be yielded without resistance.
piratesofersatz_11_leinster_64kb_f000105|Such looting expeditions were to be looked for regularly and must be submitted to under penalty of unthinkable retribution from the monster fleet of space.|Such looting expeditions were to be looked for regularly and must be submitted to under penalty of unthinkable retribution from the monster fleet of space.
piratesofersatz_11_leinster_64kb_f000106|Now, as the yacht descended on Walden, it represented that mythical but impressive piratical empire of Hoddan's contrivance.|Now, as the yacht descended on Walden, it represented that mythical but impressive piratical empire of Hoddan's contrivance.
piratesofersatz_11_leinster_64kb_f000107|He listened with genuine pleasure to the broadcasts. When low enough, he even picked up the pictures of highways thronged with fugitives from the to-be-looted town.|He listened with genuine pleasure to the broadcasts. When low enough, he even picked up the pictures of highways thronged with fugitives from the to-be-looted town.
piratesofersatz_11_leinster_64kb_f000108|He saw Waldenian police directing the traffic of flight. He saw other traffic heading toward the city. Walden was the most highly civilized planet in the Nurmi Cluster,|He saw Waldenian police directing the traffic of flight. He saw other traffic heading toward the city. Walden was the most highly civilized planet in the Nurmi Cluster,
piratesofersatz_11_leinster_64kb_f000109|and its citizens had had no worries at all except about tranquilizers to enable them to stand it.|and its citizens had had no worries at all except about tranquilizers to enable them to stand it.
piratesofersatz_11_leinster_64kb_f000110|When something genuinely exciting turned up, they wanted to be there to see it.|When something genuinely exciting turned up, they wanted to be there to see it.
piratesofersatz_11_leinster_64kb_f000111|The yacht descended below the clouds. Hoddan turned on an emergency flare to make a landing by. Sitting in the control room he saw his own ship as the broadcast cameras picked it up and relayed it to millions of homes.|The yacht descended below the clouds. Hoddan turned on an emergency flare to make a landing by. Sitting in the control room he saw his own ship as the broadcast cameras picked it up and relayed it to millions of homes.
piratesofersatz_11_leinster_64kb_f000112|He was impressed. It was a glaring eye of fierce light, descending deliberately with a dark and mysterious spacecraft behind it.|He was impressed. It was a glaring eye of fierce light, descending deliberately with a dark and mysterious spacecraft behind it.
piratesofersatz_11_leinster_64kb_f000113|He heard the chattered on-the-spot news accounts of the happening. He saw the people who had not left Ensfield joined by avid visitors.|He heard the chattered on-the-spot news accounts of the happening. He saw the people who had not left Ensfield joined by avid visitors.
piratesofersatz_11_leinster_64kb_f000114|He saw all of them held back by police, who frantically shepherded them away from the area in which the pirates should begin their horrid work.|He saw all of them held back by police, who frantically shepherded them away from the area in which the pirates should begin their horrid work.
piratesofersatz_11_leinster_64kb_f000115|Hoddan even watched pleasurably from his control room as the broadcast cameras daringly showed the actual touch-down of the ship; the dramatic slow opening of its entrance port:|Hoddan even watched pleasurably from his control room as the broadcast cameras daringly showed the actual touch-down of the ship; the dramatic slow opening of its entrance port:
piratesofersatz_11_leinster_64kb_f000116|the appearance of authentic pirates in the opening, armed to the teeth, bristling ferociously, glaring about them at the here-silent, here-deserted streets of the city left to their mercy.|the appearance of authentic pirates in the opening, armed to the teeth, bristling ferociously, glaring about them at the here-silent, here-deserted streets of the city left to their mercy.
piratesofersatz_11_leinster_64kb_f000117|It was a splendid broadcast. Hoddan would have liked to stay and watch all of it. But he had work to do. He had to supervise the pirate raid.|It was a splendid broadcast. Hoddan would have liked to stay and watch all of it. But he had work to do. He had to supervise the pirate raid.
piratesofersatz_11_leinster_64kb_f000118|It was, as it turned out, simple enough. Looting parties of three pirates each moved skulking about, seeking plunder. Quaking cameramen dared to ask them,|It was, as it turned out, simple enough. Looting parties of three pirates each moved skulking about, seeking plunder. Quaking cameramen dared to ask them,
piratesofersatz_11_leinster_64kb_f000119|in shaking voices, to pose for the news cameras.|in shaking voices, to pose for the news cameras.
piratesofersatz_11_leinster_64kb_f000120|It was a request no Darthian gentleman, even in an act of piracy, could possibly refuse. They posed, making pictures of malignant ruffianism.|It was a request no Darthian gentleman, even in an act of piracy, could possibly refuse. They posed, making pictures of malignant ruffianism.
piratesofersatz_11_leinster_64kb_f000121|Commentators, adding informed comment to delectably thrilling pictures, observed that the pirates wore Darthian costume, but observed crisply that this did not mean that Darth as an entity had turned pirate,|Commentators, adding informed comment to delectably thrilling pictures, observed that the pirates wore Darthian costume, but observed crisply that this did not mean that Darth as an entity had turned pirate,
piratesofersatz_11_leinster_64kb_f000122|but only that some of her citizens had joined the pirate fleet.|but only that some of her citizens had joined the pirate fleet.
piratesofersatz_11_leinster_64kb_f000123|The camera crews then asked apologetically if they would permit themselves to be broadcast in the act of looting. Growling savagely for their public,|The camera crews then asked apologetically if they would permit themselves to be broadcast in the act of looting. Growling savagely for their public,
piratesofersatz_11_leinster_64kb_f000124|and occasionally adding even a fiendish Ha! they obliged.|and occasionally adding even a fiendish Ha! they obliged.
piratesofersatz_11_leinster_64kb_f000125|The camera crews helped pick out good places to loot for the sake of good pictures. The pirates co-operated in fine dramatic style.|The camera crews helped pick out good places to loot for the sake of good pictures. The pirates co-operated in fine dramatic style.
piratesofersatz_11_leinster_64kb_f000126|Millions watching vision sets all over the planet shivered in delicious horror as the pirates went about their nefarious enterprise.|Millions watching vision sets all over the planet shivered in delicious horror as the pirates went about their nefarious enterprise.
piratesofersatz_11_leinster_64kb_f000127|Presently the press of onlookers could not be held back by the police. They surrounded the pirates. Some, greatly daring, asked for autographs.|Presently the press of onlookers could not be held back by the police. They surrounded the pirates. Some, greatly daring, asked for autographs.
piratesofersatz_11_leinster_64kb_f000128|Girls watched them with round, frightened, fascinated eyes. Younger men found it vastly thrilling to carry burdens of loot back to the pirate ship for them.|Girls watched them with round, frightened, fascinated eyes. Younger men found it vastly thrilling to carry burdens of loot back to the pirate ship for them.
piratesofersatz_11_leinster_64kb_f000129|Thal complained hoarsely that the ship was getting overloaded. Hoddan ordered greater discrimination, but his pirates by this time were in the position of directors rather than looters themselves.|Thal complained hoarsely that the ship was getting overloaded. Hoddan ordered greater discrimination, but his pirates by this time were in the position of directors rather than looters themselves.
piratesofersatz_11_leinster_64kb_f000130|Romantic Waldenian admirers smashed windows and brought them treasure, for the reward of a scowling acceptance.|Romantic Waldenian admirers smashed windows and brought them treasure, for the reward of a scowling acceptance.
piratesofersatz_11_leinster_64kb_f000131|Hoddan had to call it off. The pirate ship was loaded. It was then the center of an agitated, excited, enthusiastic crowd.|Hoddan had to call it off. The pirate ship was loaded. It was then the center of an agitated, excited, enthusiastic crowd.
piratesofersatz_11_leinster_64kb_f000132|He called back his men. One party of three did not return. He took two others and fought his way through the mob. He found the trio backed against a wall while hysterically adoring girls struggled to seize scraps of their garments for mementos of real,|He called back his men. One party of three did not return. He took two others and fought his way through the mob. He found the trio backed against a wall while hysterically adoring girls struggled to seize scraps of their garments for mementos of real,
piratesofersatz_11_leinster_64kb_f000133|live pirates looting a Waldenian town!|live pirates looting a Waldenian town!
piratesofersatz_11_leinster_64kb_f000134|But Hoddan got them back to the ship, in confusion tending toward the blushful. Their clothes were shreds. He fought a way clear for them to get into the ship.|But Hoddan got them back to the ship, in confusion tending toward the blushful. Their clothes were shreds. He fought a way clear for them to get into the ship.
piratesofersatz_11_leinster_64kb_f000135|He fought his way in. Cheers rose from the onlookers. He got the landing port shut only by the help of police who kept pirate fans from having their fingers caught in its closing.|He fought his way in. Cheers rose from the onlookers. He got the landing port shut only by the help of police who kept pirate fans from having their fingers caught in its closing.
piratesofersatz_11_leinster_64kb_f000136|Then the piratical space yacht rose swiftly toward the stars.|Then the piratical space yacht rose swiftly toward the stars.
piratesofersatz_11_leinster_64kb_f000137|An hour later there was barely any diminution of the excitement inside the ship. Darthian gentlemen all, Hoddan's followers still gazed and floated over the plunder tucked everywhere.|An hour later there was barely any diminution of the excitement inside the ship. Darthian gentlemen all, Hoddan's followers still gazed and floated over the plunder tucked everywhere.
piratesofersatz_11_leinster_64kb_f000138|It crowded the living quarters. It threatened to interfere with the astrogation of the ship. Hoddan came out of the control room and was annoyed.|It crowded the living quarters. It threatened to interfere with the astrogation of the ship. Hoddan came out of the control room and was annoyed.
piratesofersatz_11_leinster_64kb_f000139|Break it up! he snapped. Pack that stuff away somewhere! What do you think this is?|Break it up! he snapped. Pack that stuff away somewhere! What do you think this is?
piratesofersatz_11_leinster_64kb_f000140|Thal gazed at him abstractedly, not quite able to tear his mind and thoughts from this completely unimaginable mass of plunder.|Thal gazed at him abstractedly, not quite able to tear his mind and thoughts from this completely unimaginable mass of plunder.
piratesofersatz_11_leinster_64kb_f000141|Then intelligence came into his eyes — as much as could appear there. He grinned suddenly. He slapped his thigh.|Then intelligence came into his eyes - as much as could appear there. He grinned suddenly. He slapped his thigh.
piratesofersatz_11_leinster_64kb_f000142|Boys! he gurgled. He don't know what we got for him!|Boys! he gurgled. He don't know what we got for him!
piratesofersatz_11_leinster_64kb_f000143|One man looked up. Two. They beamed. They got to their feet, dripping jewelry. Thal went ponderously to one of the two owners' staterooms the yacht contained.|One man looked up. Two. They beamed. They got to their feet, dripping jewelry. Thal went ponderously to one of the two owners' staterooms the yacht contained.
piratesofersatz_11_leinster_64kb_f000144|At the door he turned, expansively.|At the door he turned, expansively.
piratesofersatz_11_leinster_64kb_f000145|She came to the port, he said exuberantly, and said we were wearin' clothes like they wore on Darth. Did we come from there? I said we did.|She came to the port, he said exuberantly, and said we were wearin' clothes like they wore on Darth. Did we come from there? I said we did.
piratesofersatz_11_leinster_64kb_f000146|Then she said did we know somebody named Bron Hoddan on Darth? And I said we did and if she'd step inside the ship she'd meet you. And here she is!|Then she said did we know somebody named Bron Hoddan on Darth? And I said we did and if she'd step inside the ship she'd meet you. And here she is!
piratesofersatz_11_leinster_64kb_f000147|He unfastened the stateroom door, which had been barred from without. He opened it. He looked in, and grabbed, and pulled at something.|He unfastened the stateroom door, which had been barred from without. He opened it. He looked in, and grabbed, and pulled at something.
piratesofersatz_11_leinster_64kb_f000148|Hoddan went sick with apprehension. He groaned as the something inside the stateroom sobbed and yielded.|Hoddan went sick with apprehension. He groaned as the something inside the stateroom sobbed and yielded.
piratesofersatz_11_leinster_64kb_f000149|Thal brought Nedda out into the saloon of the yacht. Her nose and eyes were red from terrified weeping. She gazed about her in purest despairing horror.|Thal brought Nedda out into the saloon of the yacht. Her nose and eyes were red from terrified weeping. She gazed about her in purest despairing horror.
piratesofersatz_11_leinster_64kb_f000150|She did not see Hoddan for a moment. Her eyes were filled with the brawny, mustachioed piratical figures who were Darthian gentlemen and who grinned at her in what she took for evil gloating.|She did not see Hoddan for a moment. Her eyes were filled with the brawny, mustachioed piratical figures who were Darthian gentlemen and who grinned at her in what she took for evil gloating.
piratesofersatz_11_leinster_64kb_f000151|She wailed.|She wailed.
piratesofersatz_11_leinster_64kb_f000152|Hoddan swallowed, with much difficulty, and said sickly:|Hoddan swallowed, with much difficulty, and said sickly:
piratesofersatz_11_leinster_64kb_f000153|It's all right, Nedda. It was a mistake. Nothing will happen to you. You're quite — and he knew with desperate certainty that it was true — safe with me!|It's all right, Nedda. It was a mistake. Nothing will happen to you. You're quite - and he knew with desperate certainty that it was true - safe with me!
piratesofersatz_11_leinster_64kb_f000154|And she was.|And she was.
piratesofersatz_11_leinster_64kb_f000155|End of chapter 11.|End of chapter eleven.
piratesofersatz_12_leinster_64kb_f000001|Chapter 12 of the pirates of ersatz.|Chapter twelve of the pirates of ersatz.
piratesofersatz_12_leinster_64kb_f000002|This librivox recording is in public domain.|This librivox recording is in public domain.
piratesofersatz_12_leinster_64kb_f000003|The pirates of ersatz by Murray Leinster. Chapter 12.|The pirates of ersatz by Murray Leinster. Chapter twelve.
piratesofersatz_12_leinster_64kb_f000004|Hoddan stopped off at Krim by landing grid, to consult his lawyers. He felt a certain amount of hope of good results from his raid on Walden, but he was desperate about Nedda.|Hoddan stopped off at Krim by landing grid, to consult his lawyers. He felt a certain amount of hope of good results from his raid on Walden, but he was desperate about Nedda.
piratesofersatz_12_leinster_64kb_f000005|Once she was confident of her safety under his protection, she took over the operation of the spaceship. She displayed an overwhelming saccharinity that was appalling.|Once she was confident of her safety under his protection, she took over the operation of the spaceship. She displayed an overwhelming saccharinity that was appalling.
piratesofersatz_12_leinster_64kb_f000006|She was sweetness and light among criminals who respectfully did not harm her, and she sweetened and lightened the atmosphere of the space yacht until Hoddan's followers were close to mutiny.|She was sweetness and light among criminals who respectfully did not harm her, and she sweetened and lightened the atmosphere of the space yacht until Hoddan's followers were close to mutiny.
piratesofersatz_12_leinster_64kb_f000007|It ain't that I mind her being a nice girl, one of his mustachioed Darthians explained almost tearfully to Hoddan, but she wants to make a nice girl out of me!|It ain't that I mind her being a nice girl, one of his mustachioed Darthians explained almost tearfully to Hoddan, but she wants to make a nice girl out of me!
piratesofersatz_12_leinster_64kb_f000008|Hoddan, himself, cringed from her society. He could gladly have put her ashore on Krim with ample funds to return to Walden.|Hoddan, himself, cringed from her society. He could gladly have put her ashore on Krim with ample funds to return to Walden.
piratesofersatz_12_leinster_64kb_f000009|But she was prettily, reproachfully helpless. If he did put her ashore, she would confide her kidnaping and the lovely behavior of the pirates until nobody would believe in them any more — which would be fatal.|But she was prettily, reproachfully helpless. If he did put her ashore, she would confide her kidnaping and the lovely behavior of the pirates until nobody would believe in them any more - which would be fatal.
piratesofersatz_12_leinster_64kb_f000010|He went to his lawyers, brooding. The news astounded him. The emigrant fleet had appeared over Krim on the way to Walden.|He went to his lawyers, brooding. The news astounded him. The emigrant fleet had appeared over Krim on the way to Walden.
piratesofersatz_12_leinster_64kb_f000011|Before it appeared, Hoddan's affairs had been prosperous enough. Right after his previous visit, news had come of the daring piratical raid which captured a ship off Walden.|Before it appeared, Hoddan's affairs had been prosperous enough. Right after his previous visit, news had come of the daring piratical raid which captured a ship off Walden.
piratesofersatz_12_leinster_64kb_f000012|This was the liner Hoddan'd brought in to Krim. All merchants and ship owners immediately insured all vessels and goods in space transit at much higher valuations.|This was the liner Hoddan'd brought in to Krim. All merchants and ship owners immediately insured all vessels and goods in space transit at much higher valuations.
piratesofersatz_12_leinster_64kb_f000013|The risk-insurance stocks bought on Hoddan's account had multiplied in value. Obeying his instructions, his lawyers had sold them out and held a pleasing fortune in trust for Hoddan.|The risk-insurance stocks bought on Hoddan's account had multiplied in value. Obeying his instructions, his lawyers had sold them out and held a pleasing fortune in trust for Hoddan.
piratesofersatz_12_leinster_64kb_f000014|Then came the fleet over Krim, with its letter threatening planetary destruction if resistance was offered to single ships which would land and loot later on.|Then came the fleet over Krim, with its letter threatening planetary destruction if resistance was offered to single ships which would land and loot later on.
piratesofersatz_12_leinster_64kb_f000015|It seemed that all commerce was at the mercy of space marauders. Risk-insurance companies had undertaken to indemnify the owners of ships and freight in emptiness.|It seemed that all commerce was at the mercy of space marauders. Risk-insurance companies had undertaken to indemnify the owners of ships and freight in emptiness.
piratesofersatz_12_leinster_64kb_f000016|Now that an unprecedented pirate fleet ranged and doubtless ravaged the skyways, the insurance companies ought to go bankrupt.|Now that an unprecedented pirate fleet ranged and doubtless ravaged the skyways, the insurance companies ought to go bankrupt.
piratesofersatz_12_leinster_64kb_f000017|Owners of stock in them dumped it at any price to get rid of it. In accordance with Hoddan's instructions, though, his lawyers had faithfully if distastefully bought it in.|Owners of stock in them dumped it at any price to get rid of it. In accordance with Hoddan's instructions, though, his lawyers had faithfully if distastefully bought it in.
piratesofersatz_12_leinster_64kb_f000018|To use up the funds available, they had to buy up not only all the stock of all the risk-insurance companies of Krim, but all stock in all off-planet companies owned by investors on Krim.|To use up the funds available, they had to buy up not only all the stock of all the risk-insurance companies of Krim, but all stock in all off-planet companies owned by investors on Krim.
piratesofersatz_12_leinster_64kb_f000019|Then time passed, and ships in space arrived unmolested in port. Cargoes were delivered intact. Insurers observed that the risk-insurance companies had not collapsed and could still pay off if necessary.|Then time passed, and ships in space arrived unmolested in port. Cargoes were delivered intact. Insurers observed that the risk-insurance companies had not collapsed and could still pay off if necessary.
piratesofersatz_12_leinster_64kb_f000020|They continued their insurance. Risk companies appeared financially sound once more. They had more business than ever, and no more claims than usual.|They continued their insurance. Risk companies appeared financially sound once more. They had more business than ever, and no more claims than usual.
piratesofersatz_12_leinster_64kb_f000021|Suddenly their stocks went up — or rather, what people were willing to pay for them went up, because Hoddan had forbidden the sale of any stock after the pirate fleet appeared.|Suddenly their stocks went up - or rather, what people were willing to pay for them went up, because Hoddan had forbidden the sale of any stock after the pirate fleet appeared.
piratesofersatz_12_leinster_64kb_f000022|Now he asked hopefully if he could reimburse the owners of the ship he'd captured off Walden. He could. Could he pay them even the profit they'd have made between the loss of their ship and the arrival of a replacement? He could.|Now he asked hopefully if he could reimburse the owners of the ship he'd captured off Walden. He could. Could he pay them even the profit they'd have made between the loss of their ship and the arrival of a replacement? He could.
piratesofersatz_12_leinster_64kb_f000023|Could he pay off the shippers of Rigellian furs and jewelry from the Cetis stars, and the owners of the bulk melacynth that had brought so good a price on Krim? He could.|Could he pay off the shippers of Rigellian furs and jewelry from the Cetis stars, and the owners of the bulk melacynth that had brought so good a price on Krim? He could.
piratesofersatz_12_leinster_64kb_f000024|In fact, he had. The insurance companies he now owned lock, stock, and barrel had already paid the claims on the ship and its cargo, and it would be rather officious to add to that reimbursement.|In fact, he had. The insurance companies he now owned lock, stock, and barrel had already paid the claims on the ship and its cargo, and it would be rather officious to add to that reimbursement.
piratesofersatz_12_leinster_64kb_f000025|Hoddan was abruptly appalled. He insisted on a bonus being paid, regardless, which his lawyers had some trouble finding a legal fiction to fit.|Hoddan was abruptly appalled. He insisted on a bonus being paid, regardless, which his lawyers had some trouble finding a legal fiction to fit.
piratesofersatz_12_leinster_64kb_f000026|Then he brooded over his position. He wasn't a business man. He hadn't expected to make out so well. He'd thought to have to labor for years,|Then he brooded over his position. He wasn't a business man. He hadn't expected to make out so well. He'd thought to have to labor for years,
piratesofersatz_12_leinster_64kb_f000027|perhaps, to make good the injury he'd done the ship owners and merchants in order to help the emigrants from Colin.|perhaps, to make good the injury he'd done the ship owners and merchants in order to help the emigrants from Colin.
piratesofersatz_12_leinster_64kb_f000028|But it was all done, and here he was with a fortune and the framework of a burgeoning financial empire. He didn't like it.|But it was all done, and here he was with a fortune and the framework of a burgeoning financial empire. He didn't like it.
piratesofersatz_12_leinster_64kb_f000029|Gloomily, he explained matters to his attorneys. They pointed out that he had a duty, an obligation, from the nature of his unexpected success.|Gloomily, he explained matters to his attorneys. They pointed out that he had a duty, an obligation, from the nature of his unexpected success.
piratesofersatz_12_leinster_64kb_f000030|If he let things go, now, the currently thriving business of risk insurance would return to its former unimportance. His companies had taken on extra help.|If he let things go, now, the currently thriving business of risk insurance would return to its former unimportance. His companies had taken on extra help.
piratesofersatz_12_leinster_64kb_f000031|More bookkeepers and accountants worked for him this week than last. More mail clerks, secretaries, janitors and scrubwomen.|More bookkeepers and accountants worked for him this week than last. More mail clerks, secretaries, janitors and scrubwomen.
piratesofersatz_12_leinster_64kb_f000032|Even more vice presidents! He would administer a serious blow to the economy of Krim if he caused a slackening of employment by letting his companies go to pot.|Even more vice presidents! He would administer a serious blow to the economy of Krim if he caused a slackening of employment by letting his companies go to pot.
piratesofersatz_12_leinster_64kb_f000033|A slackening of employment would cause a drop in retail trade, an increase in inventories, a depression in industry.|A slackening of employment would cause a drop in retail trade, an increase in inventories, a depression in industry.
piratesofersatz_12_leinster_64kb_f000034|Hoddan thought gloomily of his grandfather. He'd written to the old gentleman and the emigrant fleet would have delivered the letter. He couldn't disappoint his grandfather!|Hoddan thought gloomily of his grandfather. He'd written to the old gentleman and the emigrant fleet would have delivered the letter. He couldn't disappoint his grandfather!
piratesofersatz_12_leinster_64kb_f000035|He morbidly accepted his attorneys' advice, and they arranged immediately to take over the forty-first as well as the forty-second and-third floors of the building their offices were in. Commerce would march on.|He morbidly accepted his attorneys' advice, and they arranged immediately to take over the forty-first as well as the forty-second and-third floors of the building their offices were in. Commerce would march on.
piratesofersatz_12_leinster_64kb_f000036|And Hoddan headed for Darth. He had to return his crew, and there was something else. Several something elses. He arrived in that solar-system and put his yacht in a search-orbit,|And Hoddan headed for Darth. He had to return his crew, and there was something else. Several something elses. He arrived in that solar-system and put his yacht in a search-orbit,
piratesofersatz_12_leinster_64kb_f000037|listening for the call-signal the spaceboat should give for him to home on.|listening for the call-signal the spaceboat should give for him to home on.
piratesofersatz_12_leinster_64kb_f000038|He found it, deep within the gravity-field of Darth. He maneuvered to come alongside, and there was blinding light everywhere.|He found it, deep within the gravity-field of Darth. He maneuvered to come alongside, and there was blinding light everywhere.
piratesofersatz_12_leinster_64kb_f000039|Alarms rang. Lights went out. Instruments registered impossibilities, the rockets fired crazily, and the whole ship reeled. Then a voice roared out of the communicator:|Alarms rang. Lights went out. Instruments registered impossibilities, the rockets fired crazily, and the whole ship reeled. Then a voice roared out of the communicator:
piratesofersatz_12_leinster_64kb_f000040|Stand and deliver! Surrender and y'll be allowed to go to ground. But if y'even hesitate I'll hull ye and heave ye out to space without a spacesuit!|Stand and deliver! Surrender and y'll be allowed to go to ground. But if y'even hesitate I'll hull ye and heave ye out to space without a spacesuit!
piratesofersatz_12_leinster_64kb_f000041|Hoddan winced. Stray sparks had flown about everywhere inside the space yacht. A ball lightning bolt, even of only warning size, makes things uncomfortable when it strikes.|Hoddan winced. Stray sparks had flown about everywhere inside the space yacht. A ball lightning bolt, even of only warning size, makes things uncomfortable when it strikes.
piratesofersatz_12_leinster_64kb_f000042|Hoddan's fingers tingled as if they'd been asleep. He threw on the transmitter switch and said annoyedly:|Hoddan's fingers tingled as if they'd been asleep. He threw on the transmitter switch and said annoyedly:
piratesofersatz_12_leinster_64kb_f000043|Hello, grandfather. This is Bron. Have you been waiting for me long?|Hello, grandfather. This is Bron. Have you been waiting for me long?
piratesofersatz_12_leinster_64kb_f000044|He heard his grandfather swear disgustedly. Not long later, a badly battered, blackened, scuffed old spacecraft came rolling up on rocket-impulse and stopped with a billowing of rocket fumes.|He heard his grandfather swear disgustedly. Not long later, a badly battered, blackened, scuffed old spacecraft came rolling up on rocket-impulse and stopped with a billowing of rocket fumes.
piratesofersatz_12_leinster_64kb_f000045|Hoddan threw a switch and used the landing grid field he'd used on Walden in another fashion. The ships came together with fine precision, lifeboat-tube to lifeboat-tube.|Hoddan threw a switch and used the landing grid field he'd used on Walden in another fashion. The ships came together with fine precision, lifeboat-tube to lifeboat-tube.
piratesofersatz_12_leinster_64kb_f000046|He heard his grandfather swear in amazement.|He heard his grandfather swear in amazement.
piratesofersatz_12_leinster_64kb_f000047|That's a little trick I worked out, grandfather, said Hoddan into the transmitter. Come aboard. I'll pass it on.|That's a little trick I worked out, grandfather, said Hoddan into the transmitter. Come aboard. I'll pass it on.
piratesofersatz_12_leinster_64kb_f000048|His grandfather presently appeared, scowling and suspicious. His eyes shrewdly examined everything, including the loot tucked in every available space. He snorted.|His grandfather presently appeared, scowling and suspicious. His eyes shrewdly examined everything, including the loot tucked in every available space. He snorted.
piratesofersatz_12_leinster_64kb_f000049|All honestly come by, said Hoddan morbidly. It seems I've got a license to steal. I'm not sure what to do with it.|All honestly come by, said Hoddan morbidly. It seems I've got a license to steal. I'm not sure what to do with it.
piratesofersatz_12_leinster_64kb_f000050|His grandfather stared at a placard on the wall. It said archly: Remember! A Lady is Present! Nedda had put it up.|His grandfather stared at a placard on the wall. It said archly: Remember! A Lady is Present! Nedda had put it up.
piratesofersatz_12_leinster_64kb_f000051|Hm-m-m! said his grandfather. What's a woman doing on a pirate ship? That's what your letter talked about!|Hm-m-m! said his grandfather. What's a woman doing on a pirate ship? That's what your letter talked about!
piratesofersatz_12_leinster_64kb_f000052|They get on, said Hoddan, wincing, like mice. You've had mice on a ship, haven't you? Come in the control room and I'll explain.|They get on, said Hoddan, wincing, like mice. You've had mice on a ship, haven't you? Come in the control room and I'll explain.
piratesofersatz_12_leinster_64kb_f000053|He did explain, up to the point where his arrangements to pay back for a ship and cargo he'd given away turned into a runaway success,|He did explain, up to the point where his arrangements to pay back for a ship and cargo he'd given away turned into a runaway success,
