hunters_space_01_f000001|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.
hunters_space_16_f000145|and a mace thudded against his temple.|and a mace thudded against his temple.
hunters_space_16_f000146|Gunnar reeled back into the flames.|Gunnar reeled back into the flames.
hunters_space_16_f000147|End of chapter 16.|End of chapter sixteen.
hunters_space_17_f000001|Chapter 17 of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.|Chapter seventeen of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.
hunters_space_17_f000002|Chapter 17.|Chapter seventeen.
hunters_space_17_f000003|A deadening quiet fell over the huge room where Maya's and Ato's little armies were making their last stand. The flames were dying out in the tunnels and on the stairway.|A deadening quiet fell over the huge room where Maya's and Ato's little armies were making their last stand. The flames were dying out in the tunnels and on the stairway.
hunters_space_17_f000004|They fed more fuel to the fires and waited.|They fed more fuel to the fires and waited.
hunters_space_17_f000005|Maya was at Odin's side now. They clung together. Jack Odin kissed her and swore that they would never be parted again.|Maya was at Odin's side now. They clung together. Jack Odin kissed her and swore that they would never be parted again.
hunters_space_17_f000006|Until death Maya said and raised her lips to his.|Until death Maya said and raised her lips to his.
hunters_space_17_f000007|He shivered. It was a promise and an assurance that might be kept too soon. The fires could not burn much longer. Grim Hagen's power over the Lorens might be questioned after the havoc that had been wreaked in the city above.|He shivered. It was a promise and an assurance that might be kept too soon. The fires could not burn much longer. Grim Hagen's power over the Lorens might be questioned after the havoc that had been wreaked in the city above.
hunters_space_17_f000008|But Hagen and his white-skinned soldiers could still fight.|But Hagen and his white-skinned soldiers could still fight.
hunters_space_17_f000009|And Grim Hagen's hate was hotter than the fires that were now dying out in the tunnels.|And Grim Hagen's hate was hotter than the fires that were now dying out in the tunnels.
hunters_space_17_f000010|Ato joined them. He had proven himself a general. Outnumbered all the way, he had broken Grim Hagen's lines time and again during that awful night.|Ato joined them. He had proven himself a general. Outnumbered all the way, he had broken Grim Hagen's lines time and again during that awful night.
hunters_space_17_f000011|I think we had better wait behind the barricades and make our last stand upon the balcony, he said. We can't defend five entrances at the same time.|I think we had better wait behind the barricades and make our last stand upon the balcony, he said. We can't defend five entrances at the same time.
hunters_space_17_f000012|Odin agreed.|Odin agreed.
hunters_space_17_f000013|Some of Maya's people are unarmed. We still have a few of the Lorens who joined us. They are good fighters. Better than the Lorens who are with Grim Hagen.|Some of Maya's people are unarmed. We still have a few of the Lorens who joined us. They are good fighters. Better than the Lorens who are with Grim Hagen.
hunters_space_17_f000014|Apparently, he drew his following from the weakest among them.|Apparently, he drew his following from the weakest among them.
hunters_space_17_f000015|Aye, Val the Loren agreed. He had fought near Ato's side all through the night, and his lean left hand was rubbing two deep cuts across his chest.|Aye, Val the Loren agreed. He had fought near Ato's side all through the night, and his lean left hand was rubbing two deep cuts across his chest.
hunters_space_17_f000016|They have already had enough. But they have asked the wild things of the moss-country to dine with them, and now they can't get rid of their guests.|They have already had enough. But they have asked the wild things of the moss-country to dine with them, and now they can't get rid of their guests.
hunters_space_17_f000017|If Grim Hagen and his soldiers should die, they would give up in a minute.|If Grim Hagen and his soldiers should die, they would give up in a minute.
hunters_space_17_f000018|Are your men still armed, Val? Odin asked.|Are your men still armed, Val? Odin asked.
hunters_space_17_f000019|Aye. They know to hang on to their weapons.|Aye. They know to hang on to their weapons.
hunters_space_17_f000020|Not all of Maya's people are, Odin said. I don't like the idea of the children and old men fighting.|Not all of Maya's people are, Odin said. I don't like the idea of the children and old men fighting.
hunters_space_17_f000021|Children and old men have fought before, Ato answered simply. If this should be the last time, then the battle would be worth the blood.|Children and old men have fought before, Ato answered simply. If this should be the last time, then the battle would be worth the blood.
hunters_space_17_f000022|Anyway, I have set them to fashioning lances and staves from wood that we saved from the fires.|Anyway, I have set them to fashioning lances and staves from wood that we saved from the fires.
hunters_space_17_f000023|They waited. All the troops and all the weapons were moved behind the barricade.|They waited. All the troops and all the weapons were moved behind the barricade.
hunters_space_17_f000024|Some of the best throwers were mounted upon the improvised balcony.|Some of the best throwers were mounted upon the improvised balcony.
hunters_space_17_f000025|They had rigged up a rude catapult from some lumber and ropes. They had barrels of nails and spikes for ammunition. Odin wished for some good bowmen,|They had rigged up a rude catapult from some lumber and ropes. They had barrels of nails and spikes for ammunition. Odin wished for some good bowmen,
hunters_space_17_f000026|but the bow was as foreign to the Lorens as it was to the Brons.|but the bow was as foreign to the Lorens as it was to the Brons.
hunters_space_17_f000027|There was nothing left to do except move all the workshop's water-pails and sand-buckets behind the barricade in case of fire.|There was nothing left to do except move all the workshop's water-pails and sand-buckets behind the barricade in case of fire.
hunters_space_17_f000028|Soon they heard the sound of war-cries and the splashing of water from the tunnels. Smoke poured into the room from the quenched and dying fires.|Soon they heard the sound of war-cries and the splashing of water from the tunnels. Smoke poured into the room from the quenched and dying fires.
hunters_space_17_f000029|It disappeared almost as fast as it came. Evidently the Lorens were masters of air-conditioning. Odin was thankful. Knowing Grim Hagen, he had been fearful of gas.|It disappeared almost as fast as it came. Evidently the Lorens were masters of air-conditioning. Odin was thankful. Knowing Grim Hagen, he had been fearful of gas.
hunters_space_17_f000030|Now that seemed unlikely. Even as Gunnar had predicted, this last fight would be with knife and sword and spear. Or, if it lasted long, with clubs and bare hands.|Now that seemed unlikely. Even as Gunnar had predicted, this last fight would be with knife and sword and spear. Or, if it lasted long, with clubs and bare hands.
hunters_space_17_f000031|They had spanned space and had mocked at time. Now time was triumphant as always. Would they end up as pre-stone-age men throwing sticks at one another?|They had spanned space and had mocked at time. Now time was triumphant as always. Would they end up as pre-stone-age men throwing sticks at one another?
hunters_space_17_f000032|And was this a sample of the end of all the thinking men who would follow after into space? If so, what a hollow, foolish end to such high endeavor.|And was this a sample of the end of all the thinking men who would follow after into space? If so, what a hollow, foolish end to such high endeavor.
hunters_space_17_f000033|Odin remembered an old professor who had said that all races carry their own seeds of destruction with them wherever they go.|Odin remembered an old professor who had said that all races carry their own seeds of destruction with them wherever they go.
hunters_space_17_f000034|The bees who steal the honey soon die, the old man had said, but the flowers are pollinated anew and life goes on forever.|The bees who steal the honey soon die, the old man had said, but the flowers are pollinated anew and life goes on forever.
hunters_space_17_f000035|But such bleak thoughts were short-lasting. For as soon as the tunnels and the stairway were cleared of smoke, Grim Hagen's army came pouring into the room.|But such bleak thoughts were short-lasting. For as soon as the tunnels and the stairway were cleared of smoke, Grim Hagen's army came pouring into the room.
hunters_space_17_f000036|Grim Hagen had mustered at least two-thousand men. He had divided these into five groups, and they came through the five entrances at the same time.|Grim Hagen had mustered at least two-thousand men. He had divided these into five groups, and they came through the five entrances at the same time.
hunters_space_17_f000037|Yelling and brandishing swords and flares, they rushed the barricade.|Yelling and brandishing swords and flares, they rushed the barricade.
hunters_space_17_f000038|Jack Odin had underestimated the catapult. The crew released it. And a shower of spikes tore the invading ranks apart. Odin saw a white-skinned warrior go to his knees and scream as he tried to pull a six-inch spike from his eye.|Jack Odin had underestimated the catapult. The crew released it. And a shower of spikes tore the invading ranks apart. Odin saw a white-skinned warrior go to his knees and scream as he tried to pull a six-inch spike from his eye.
hunters_space_17_f000039|Ato had ordered his men to try for Grim Hagen's trained soldiers first.|Ato had ordered his men to try for Grim Hagen's trained soldiers first.
hunters_space_17_f000040|Odin saw an old Bron cast a home-made spear with as much ease as a trained javelin-thrower back home. A soldier tried to pull it out of his chest until his legs buckled beneath him and he tumbled over backwards.|Odin saw an old Bron cast a home-made spear with as much ease as a trained javelin-thrower back home. A soldier tried to pull it out of his chest until his legs buckled beneath him and he tumbled over backwards.
hunters_space_17_f000041|Then a white-skinned warrior leaped at the barricade and Odin thrust him through.|Then a white-skinned warrior leaped at the barricade and Odin thrust him through.
hunters_space_17_f000042|Torches began to rain down upon them. Half the defending forces were now busy with water and sand, beating out the flames.|Torches began to rain down upon them. Half the defending forces were now busy with water and sand, beating out the flames.
hunters_space_17_f000043|Then, after what seemed to be hours, the catapult crew cranked their awkward weapon to the trigger-point again and sent another rain of spikes into Grim Hagen's ranks.|Then, after what seemed to be hours, the catapult crew cranked their awkward weapon to the trigger-point again and sent another rain of spikes into Grim Hagen's ranks.
hunters_space_17_f000044|The floor beyond the barrier was littered with dead and slippery with blood before Grim Hagen's men broke the barrier.|The floor beyond the barrier was littered with dead and slippery with blood before Grim Hagen's men broke the barrier.
hunters_space_17_f000045|There were only two hundred to meet the charge of two thousand. The end was inevitable.|There were only two hundred to meet the charge of two thousand. The end was inevitable.
hunters_space_17_f000046|As the barrier went down, Jack Odin and Maya urged their men to climb upon the balcony. Odin was the last to retreat. A soldier caught at him as he scrambled upward and Odin turned and slashed him across the face.|As the barrier went down, Jack Odin and Maya urged their men to climb upon the balcony. Odin was the last to retreat. A soldier caught at him as he scrambled upward and Odin turned and slashed him across the face.
hunters_space_17_f000047|Ato was calling his men around him. They drew back to a corner where two thick walls met. Ato had placed one bench there.|Ato was calling his men around him. They drew back to a corner where two thick walls met. Ato had placed one bench there.
hunters_space_17_f000048|This he stood upon, calling out orders and cheering them on as the attackers climbed the unsteady tiers of benches and tables to reach them.|This he stood upon, calling out orders and cheering them on as the attackers climbed the unsteady tiers of benches and tables to reach them.
hunters_space_17_f000049|The defenders gathered around. There were not over fifty of them left now. Odin thrust Maya behind him. A body fell at his feet.|The defenders gathered around. There were not over fifty of them left now. Odin thrust Maya behind him. A body fell at his feet.
hunters_space_17_f000050|He bent and lifted up a twelve-year-old boy who was streaming from wounds. He handed the lad to Maya.|He bent and lifted up a twelve-year-old boy who was streaming from wounds. He handed the lad to Maya.
hunters_space_17_f000051|Grim Hagen led the attack. Odin braced himself. He took one step forward and waited. Seeing him, Grim Hagen veered toward him, screaming a mad battle-cry his eyes wild with hate.|Grim Hagen led the attack. Odin braced himself. He took one step forward and waited. Seeing him, Grim Hagen veered toward him, screaming a mad battle-cry his eyes wild with hate.
hunters_space_17_f000052|Even in what appeared to be the last moment, Jack Odin saw that only three or four of the white-skinned soldiers were left; and not over a dozen of the Brons who had stayed with Grim Hagen during all those wasting years remained.|Even in what appeared to be the last moment, Jack Odin saw that only three or four of the white-skinned soldiers were left; and not over a dozen of the Brons who had stayed with Grim Hagen during all those wasting years remained.
hunters_space_17_f000053|He did not take his eyes from Grim Hagen. He was conscious only of a sudden flickering, as of many lights twinkling on and off.|He did not take his eyes from Grim Hagen. He was conscious only of a sudden flickering, as of many lights twinkling on and off.
hunters_space_17_f000054|But he did not know what was happening. Maya told him later.|But he did not know what was happening. Maya told him later.
hunters_space_17_f000055|Ato was already bleeding badly from a deep slash in his shoulder. As he rallied his men around him, someone threw a knife that buried itself in the right side of his chest.|Ato was already bleeding badly from a deep slash in his shoulder. As he rallied his men around him, someone threw a knife that buried itself in the right side of his chest.
hunters_space_17_f000056|He stumbled and went down to his knees. Then he struggled up, and as he stood straight he reached down to his waist and clutched the little slug-horn of moon-metal that his father had given him.|He stumbled and went down to his knees. Then he struggled up, and as he stood straight he reached down to his waist and clutched the little slug-horn of moon-metal that his father had given him.
hunters_space_17_f000057|His head went back as he raised the horn to his lips. Like Childe Roland, who came at last to the Dark Tower, he blew one unheard blast.|His head went back as he raised the horn to his lips. Like Childe Roland, who came at last to the Dark Tower, he blew one unheard blast.
hunters_space_17_f000058|Suddenly the room was filled with lights, flashing and dancing everywhere.|Suddenly the room was filled with lights, flashing and dancing everywhere.
hunters_space_17_f000059|Whispering.|Whispering.
hunters_space_17_f000060|A stillness fell upon the room and the shambles. Men paused as they lifted their knives or braced themselves for a last thrust.|A stillness fell upon the room and the shambles. Men paused as they lifted their knives or braced themselves for a last thrust.
hunters_space_17_f000061|For a single breath, all was in silence.|For a single breath, all was in silence.
hunters_space_17_f000062|Then a light began to whisper. Ato, it is I, your father, Wolden. We have learned the secret of time and space and we have come for you, my son.|Then a light began to whisper. Ato, it is I, your father, Wolden. We have learned the secret of time and space and we have come for you, my son.
hunters_space_17_f000063|But before we go, we must rid ourselves of the mischief-makers.|But before we go, we must rid ourselves of the mischief-makers.
hunters_space_17_f000064|The lights darted down upon Grim Hagen's men. And as they touched them, the cold of space came flowing through. They fell one by one.|The lights darted down upon Grim Hagen's men. And as they touched them, the cold of space came flowing through. They fell one by one.
hunters_space_17_f000065|And the hoar-frost covered them like spiderwebs across the faces and bodies of long-dead mummies.|And the hoar-frost covered them like spiderwebs across the faces and bodies of long-dead mummies.
hunters_space_17_f000066|There was a spattering sound, as of sleet falling against a distant roof.|There was a spattering sound, as of sleet falling against a distant roof.
hunters_space_17_f000067|A strange smell filled the air.|A strange smell filled the air.
hunters_space_17_f000068|And one by one Grim Hagen's men went down.|And one by one Grim Hagen's men went down.
hunters_space_17_f000069|End of chapter 17.|End of chapter seventeen.
hunters_space_18_f000001|Chapter 18 of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.|Chapter eighteen of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.
hunters_space_18_f000002|Chapter 18.|Chapter eighteen.
hunters_space_18_f000003|All this happened while Grim Hagen was rushing toward Odin and Maya. A thin trickle of blood was flowing down the corner of Hagen's mouth.|All this happened while Grim Hagen was rushing toward Odin and Maya. A thin trickle of blood was flowing down the corner of Hagen's mouth.
hunters_space_18_f000004|Odin heard the voices. Out of the corner of his eye he saw some men go down. The room felt cold now, and a thin breeze was going through it, as though blown gently across the star-spaces.|Odin heard the voices. Out of the corner of his eye he saw some men go down. The room felt cold now, and a thin breeze was going through it, as though blown gently across the star-spaces.
hunters_space_18_f000005|He saw a light dart down toward Grim Hagen.|He saw a light dart down toward Grim Hagen.
hunters_space_18_f000006|But at that instant Grim Hagen reached him and swung his sword. Jack Odin stepped aside. His foot slipped upon the unsteady planking of the improvised balcony.|But at that instant Grim Hagen reached him and swung his sword. Jack Odin stepped aside. His foot slipped upon the unsteady planking of the improvised balcony.
hunters_space_18_f000007|He thrust for Grim Hagen's throat, but his blade went high and wide. It gashed Grim Hagen from the lower corner of his chin clear back to the jawbone.|He thrust for Grim Hagen's throat, but his blade went high and wide. It gashed Grim Hagen from the lower corner of his chin clear back to the jawbone.
hunters_space_18_f000008|Blood streamed and as Odin slipped to his knee Grim Hagen swung again.|Blood streamed and as Odin slipped to his knee Grim Hagen swung again.
hunters_space_18_f000009|Then Maya was between them, both hands grasping Hagen's sword-arm. Hagen's free hand closed about her wrists. He swung her aside and the point of his sword came down to rest upon her throat.|Then Maya was between them, both hands grasping Hagen's sword-arm. Hagen's free hand closed about her wrists. He swung her aside and the point of his sword came down to rest upon her throat.
hunters_space_18_f000010|Now, Grim Hagen screamed, and his voice was the shriek of a man who has nothing left to lose. Let no light come near me and Maya or we die together.|Now, Grim Hagen screamed, and his voice was the shriek of a man who has nothing left to lose. Let no light come near me and Maya or we die together.
hunters_space_18_f000011|Wolden, I caught scattered words about your work as I fled through space. I held the stars and planets in my hands and I flung them away, for they were no more than the sparks that fly out from flint.|Wolden, I caught scattered words about your work as I fled through space. I held the stars and planets in my hands and I flung them away, for they were no more than the sparks that fly out from flint.
hunters_space_18_f000012|They were worthless and I flung them away. And there was nothing to match my desire. Not even Maya. Now, listen, if you care for her life.|They were worthless and I flung them away. And there was nothing to match my desire. Not even Maya. Now, listen, if you care for her life.
hunters_space_18_f000013|The descending lights hesitated and drew back. Jack Odin righted himself and chanced a thrust at Hagen. The thrust failed as Grim Hagen moved Maya between them.|The descending lights hesitated and drew back. Jack Odin righted himself and chanced a thrust at Hagen. The thrust failed as Grim Hagen moved Maya between them.
hunters_space_18_f000014|No more of that, Odin. Drop your sword or she dies. Drop it now!|No more of that, Odin. Drop your sword or she dies. Drop it now!
hunters_space_18_f000015|And Odin lowered his hand and let his sword fall to the table beneath him.|And Odin lowered his hand and let his sword fall to the table beneath him.
hunters_space_18_f000016|Grim Hagen continued: The ship is yours. This world is yours. Let me have your secret, Wolden. I would not care to be with such as you.|Grim Hagen continued: The ship is yours. This world is yours. Let me have your secret, Wolden. I would not care to be with such as you.
hunters_space_18_f000017|I would laugh at space with the comets. I would make the stars cringe. I would watch the generations go by like falling snow.|I would laugh at space with the comets. I would make the stars cringe. I would watch the generations go by like falling snow.
hunters_space_18_f000018|I would No, you would be like Lucifer, wreaking his vengeance upon the planets, the voice of what had been Wolden interrupted in a whisper.|I would No, you would be like Lucifer, wreaking his vengeance upon the planets, the voice of what had been Wolden interrupted in a whisper.
hunters_space_18_f000019|No, Grim Hagen, even if I gave you what you asked, all space would seem as hell to you.|No, Grim Hagen, even if I gave you what you asked, all space would seem as hell to you.
hunters_space_18_f000020|Grim Hagen smiled an evil smile. So. But it is I who make the bargain.|Grim Hagen smiled an evil smile. So. But it is I who make the bargain.
hunters_space_18_f000021|Even yet. Maya goes with me. Remember!|Even yet. Maya goes with me. Remember!
hunters_space_18_f000022|But at that instant Maya got one hand free and thrust the sword aside.|But at that instant Maya got one hand free and thrust the sword aside.
hunters_space_18_f000023|It was all the time that Jack Odin needed. Reaching forward he grasped Grim Hagen's sword with his bare hand. It cut to the bone.|It was all the time that Jack Odin needed. Reaching forward he grasped Grim Hagen's sword with his bare hand. It cut to the bone.
hunters_space_18_f000024|And then he had Hagen's wrist with his free hand. He twisted. A bone cracked and he shook the blade from Hagen's grasp. Maya leaped to one side.|And then he had Hagen's wrist with his free hand. He twisted. A bone cracked and he shook the blade from Hagen's grasp. Maya leaped to one side.
hunters_space_18_f000025|Then Hagen's fingers were pushing Odin's face back and Odin was clutching at Hagen's throat.|Then Hagen's fingers were pushing Odin's face back and Odin was clutching at Hagen's throat.
hunters_space_18_f000026|They stood there swaying. Then they tumbled down the rude stairway of tables that Ato had fashioned for his last stand.|They stood there swaying. Then they tumbled down the rude stairway of tables that Ato had fashioned for his last stand.
hunters_space_18_f000027|They rolled to the blood-stained floor beneath. And Odin never knew how either of them survived the fall.|They rolled to the blood-stained floor beneath. And Odin never knew how either of them survived the fall.
hunters_space_18_f000028|The lights hovered above them, waiting for an opening. Maya took up a fallen sword and came following after.|The lights hovered above them, waiting for an opening. Maya took up a fallen sword and came following after.
hunters_space_18_f000029|Grim Hagen's fingers were feeling for Odin's eyes. Odin got a bloody fist against Hagen's face and shoved him back. Then he rolled on top of him and got the man's throat between his hands.|Grim Hagen's fingers were feeling for Odin's eyes. Odin got a bloody fist against Hagen's face and shoved him back. Then he rolled on top of him and got the man's throat between his hands.
hunters_space_18_f000030|Hagen's fists worked like pistons as he beat at Odin's face. Odin felt the blood dripping down upon his hands and upon Hagen's throat but he held on.|Hagen's fists worked like pistons as he beat at Odin's face. Odin felt the blood dripping down upon his hands and upon Hagen's throat but he held on.
hunters_space_18_f000031|At the last, Grim Hagen screamed and clawed like an animal. And then it was over. The hands stopped clawing. There was one last sob of pain and hate that was cut off in the middle.|At the last, Grim Hagen screamed and clawed like an animal. And then it was over. The hands stopped clawing. There was one last sob of pain and hate that was cut off in the middle.
hunters_space_18_f000032|Then Grim Hagen was still. And Odin, with his face dripping blood, held on while Maya and the others struggled to tear his hands free from the man he had killed.|Then Grim Hagen was still. And Odin, with his face dripping blood, held on while Maya and the others struggled to tear his hands free from the man he had killed.
hunters_space_18_f000033|With the death of Grim Hagen the fight was over. None of Hagen's Brons or Aldebaranians were left. The Lorens threw down their arms and swore loyalty to Val.|With the death of Grim Hagen the fight was over. None of Hagen's Brons or Aldebaranians were left. The Lorens threw down their arms and swore loyalty to Val.
hunters_space_18_f000034|A cot was improvised for Ato. The lights hovered around him, whispering cheerfully and ignoring all others.|A cot was improvised for Ato. The lights hovered around him, whispering cheerfully and ignoring all others.
hunters_space_18_f000035|Val, Odin and Maya tried to count the survivors. Of the fifty who had lived through the fighting, only eighteen were Brons. The rest were Val's men.|Val, Odin and Maya tried to count the survivors. Of the fifty who had lived through the fighting, only eighteen were Brons. The rest were Val's men.
hunters_space_18_f000036|There are a hundred more on the two ships, Maya told Odin. Oh, Jack, we have Nea to thank for most of this. Nea and Wolden.|There are a hundred more on the two ships, Maya told Odin. Oh, Jack, we have Nea to thank for most of this. Nea and Wolden.
hunters_space_18_f000037|After you and your men left, Nea took her Kalis, as she called them, and some of her people. They came through the barrier and made their way to the Old Ship.|After you and your men left, Nea took her Kalis, as she called them, and some of her people. They came through the barrier and made their way to the Old Ship.
hunters_space_18_f000038|They surprised the few guards that Grim Hagen had left. They freed me and the other prisoners. Then we got our little army together and came to help.|They surprised the few guards that Grim Hagen had left. They freed me and the other prisoners. Then we got our little army together and came to help.
hunters_space_18_f000039|Without Nea, it could never have been done. She buried her face on Odin's shoulder. Oh, Jack, when we were kids together we used to laugh at her.|Without Nea, it could never have been done. She buried her face on Odin's shoulder. Oh, Jack, when we were kids together we used to laugh at her.
hunters_space_18_f000040|He patted her shoulder comfortingly, for he could think of nothing to say.|He patted her shoulder comfortingly, for he could think of nothing to say.
hunters_space_18_f000041|He had seen soldiers like Nea cast-offs from their home-towns gallantly going to their deaths. It was something that he could not understand.|He had seen soldiers like Nea cast-offs from their home-towns gallantly going to their deaths. It was something that he could not understand.
hunters_space_18_f000042|And being honest, he had nothing to say.|And being honest, he had nothing to say.
hunters_space_18_f000043|Clean-up was begun. Jack Odin left Val of the Lorens to take over. Then he rushed to the stairway where last he had seen Gunnar.|Clean-up was begun. Jack Odin left Val of the Lorens to take over. Then he rushed to the stairway where last he had seen Gunnar.
hunters_space_18_f000044|The fires had burned out. The steps were blackened. A few smoking corpses were still upon the stairs.|The fires had burned out. The steps were blackened. A few smoking corpses were still upon the stairs.
hunters_space_18_f000045|Odin's face was covered with blood. His strength was nearly gone. But he went up the stairs two steps at a time, his spent breath whistling through his bloody nostrils.|Odin's face was covered with blood. His strength was nearly gone. But he went up the stairs two steps at a time, his spent breath whistling through his bloody nostrils.
hunters_space_18_f000046|There at the top of the stairs he found Gunnar. And Gunnar's dead lay thick about him.|There at the top of the stairs he found Gunnar. And Gunnar's dead lay thick about him.
hunters_space_18_f000047|Gunnar had moved himself to a sitting position against one of the railings.|Gunnar had moved himself to a sitting position against one of the railings.
hunters_space_18_f000048|His chin was upon his great chest and his eyes were closed as though he slept. But when Odin knelt beside him, he opened one eye and looked up with a twisted smile upon his broad face.|His chin was upon his great chest and his eyes were closed as though he slept. But when Odin knelt beside him, he opened one eye and looked up with a twisted smile upon his broad face.
hunters_space_18_f000049|One side of his face was barely recognizable. Gunnar was badly burned. He had been thrust through at least a dozen times. But Gunnar lived.|One side of his face was barely recognizable. Gunnar was badly burned. He had been thrust through at least a dozen times. But Gunnar lived.
hunters_space_18_f000050|Eh, Nors-King, he whispered, sitting up straight as Odin steadied him in his arms. It was a long time to wait. And I thought sometimes that I would not make it.|Eh, Nors-King, he whispered, sitting up straight as Odin steadied him in his arms. It was a long time to wait. And I thought sometimes that I would not make it.
hunters_space_18_f000051|But I held on, for I knew you would come. Oh, it has been a long wait and it took all my strength.|But I held on, for I knew you would come. Oh, it has been a long wait and it took all my strength.
hunters_space_18_f000052|As fast as I could, Odin answered in a choking voice. As fast as I could, O Chief of the Neeblings. For Ragnarok is past, and the tree of life still reaches into the stars.|As fast as I could, Odin answered in a choking voice. As fast as I could, O Chief of the Neeblings. For Ragnarok is past, and the tree of life still reaches into the stars.
hunters_space_18_f000053|The twilight is past and new suns and new earths are quickened. And Gunnar still lives.|The twilight is past and new suns and new earths are quickened. And Gunnar still lives.
hunters_space_18_f000054|Part of him. Gunnar blinked his good eye. What happened down there? Oh, he gasped in pain, to have missed the fighting!|Part of him. Gunnar blinked his good eye. What happened down there? Oh, he gasped in pain, to have missed the fighting!
hunters_space_18_f000055|Maya lives and I live. Ato is wounded. Wolden came at the last to help us, Gunnar. We won. And I have killed Grim Hagen with my bare hands, even as I promised.|Maya lives and I live. Ato is wounded. Wolden came at the last to help us, Gunnar. We won. And I have killed Grim Hagen with my bare hands, even as I promised.
hunters_space_18_f000056|Good, Nors-King. I knew always that one of us would kill him. Oh, it was a grand fight. But Gunnar will sharpen his sword no more.|Good, Nors-King. I knew always that one of us would kill him. Oh, it was a grand fight. But Gunnar will sharpen his sword no more.
hunters_space_18_f000057|There was a ford near my father's house where the clear water ran fresh over the stones.|There was a ford near my father's house where the clear water ran fresh over the stones.
hunters_space_18_f000058|That might help me. But it is far away. And my father too. You tell Freida that we did not make the long trip in vain.|That might help me. But it is far away. And my father too. You tell Freida that we did not make the long trip in vain.
hunters_space_18_f000059|If I can, Odin promised.|If I can, Odin promised.
hunters_space_18_f000060|Oh, you can. For we have won the stars and nothing is beyond us except youth, maybe.|Oh, you can. For we have won the stars and nothing is beyond us except youth, maybe.
hunters_space_18_f000061|Gunnar closed his eyes and slept for a few minutes while Odin held him in his arms. Then Gunnar awoke.|Gunnar closed his eyes and slept for a few minutes while Odin held him in his arms. Then Gunnar awoke.
hunters_space_18_f000062|He smiled at Jack Odin and murmured:|He smiled at Jack Odin and murmured:
hunters_space_18_f000063|To awake on the sea of the stars Jack Odin had heard Gunnar sing those words before. They belonged to an old Norse lullaby that Gunnar's mother had crooned to him when he was a little boy.|To awake on the sea of the stars Jack Odin had heard Gunnar sing those words before. They belonged to an old Norse lullaby that Gunnar's mother had crooned to him when he was a little boy.
hunters_space_18_f000064|Then Gunnar died.|Then Gunnar died.
hunters_space_18_f000065|And Odin knelt over him, tears streaming down his broken face.|And Odin knelt over him, tears streaming down his broken face.
hunters_space_18_f000066|End of chapter 18.|End of chapter eighteen.
hunters_space_19_f000001|Chapter 19 of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.|Chapter nineteen of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.
hunters_space_19_f000002|Chapter 19.|Chapter nineteen.
hunters_space_19_f000003|Six months had passed since the battle.|Six months had passed since the battle.
hunters_space_19_f000004|The city of the violet dome was rebuilt. The ashes of the dead had been strewn upon the mossy plains.|The city of the violet dome was rebuilt. The ashes of the dead had been strewn upon the mossy plains.
hunters_space_19_f000005|The two ships now stood in peace and gazed at each other across the expanse of moss and grass that had replaced the cinders left from the fighting.|The two ships now stood in peace and gazed at each other across the expanse of moss and grass that had replaced the cinders left from the fighting.
hunters_space_19_f000006|Another city was being built a few miles away.|Another city was being built a few miles away.
hunters_space_19_f000007|Ato had soon recovered from his wounds, and as ship's captain had married Maya and Odin.|Ato had soon recovered from his wounds, and as ship's captain had married Maya and Odin.
hunters_space_19_f000008|So it was over. But Odin and Maya had asked for Gunnar's ashes, and had buried them out there on the plain, beneath a gaunt tree which was something like a mesquite.|So it was over. But Odin and Maya had asked for Gunnar's ashes, and had buried them out there on the plain, beneath a gaunt tree which was something like a mesquite.
hunters_space_19_f000009|Gunnar would have liked that. Twisted, gnarled, and tough, the tree spread out its branches above him; and a bird had built its nest there and sang its old song of stars and men and time.|Gunnar would have liked that. Twisted, gnarled, and tough, the tree spread out its branches above him; and a bird had built its nest there and sang its old song of stars and men and time.
hunters_space_19_f000010|The Lorens were a happier people. One of the first things that the lights had done was to plunge back into space. Within a few days they returned, trailing a huge dust-cloud behind them.|The Lorens were a happier people. One of the first things that the lights had done was to plunge back into space. Within a few days they returned, trailing a huge dust-cloud behind them.
hunters_space_19_f000011|It must have been the last salvage from the explosion that Odin had witnessed back there in space. The cloud trailed out in one great streamer and slowly circled the ancient sun.|It must have been the last salvage from the explosion that Odin had witnessed back there in space. The cloud trailed out in one great streamer and slowly circled the ancient sun.
hunters_space_19_f000012|Slowly the spirals came nearer to the fires. The sun fed. Its old warmth returning, it smiled at its lone child. The air of the planet of the Lorens grew warmer and fresher.|Slowly the spirals came nearer to the fires. The sun fed. Its old warmth returning, it smiled at its lone child. The air of the planet of the Lorens grew warmer and fresher.
